Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",A,100g,263,0,0,0,0,0,0,,0,1
"Alcoholic beverage, wine, table, white, Fume Blanc",A,100g,82,0.07,2.27,0,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",A,100g,275,0,0,0,0,,0,,0,1
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",A,100g,250,0,0.1,0,0,0,0,,0,1
"Alcoholic beverage, wine, table, white, Chenin Blanc",A,100g,80,0.07,3.31,0,,,,,,
"Alcoholic beverage, distilled, rum, 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",A,100g,327,2.8,20.9,15.7,0,19.76,9.664,,58,92
"Alcoholic Beverage, wine, table, red, Lemberger",A,100g,80,0.07,2.46,0,,,,,,
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",A,100g,83,0.07,2.06,0,,,,,,
"Alcoholic beverage, distilled, gin, 90 proof",A,100g,263,0,0,0,0,0,0,,0,2
"Alcoholic beverage, wine, table, white",A,100g,82,0.07,2.6,0,0,0.96,0,,0,5
"Alcoholic Beverage, wine, table, red, Carignane",A,100g,74,0.07,2.4,0,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
"Alcoholic beverage, liqueur, coffee, 53 proof",A,100g,326,0.1,46.8,0.3,0,46.43,0.106,,0,8
"Alcoholic Beverage, wine, table, red, Claret",A,100g,83,0.07,3.01,0,,,,,,
"Alcoholic Beverage, wine, table, red, Sangiovese",A,100g,86,0.07,2.62,0,,,,,,
"Alcoholic beverage, creme de menthe, 72 proof",A,100g,371,0,41.6,0.3,0,41.6,0.014,,0,5
"Eggnog-flavor mix, powder, prepared with whole milk",A,100g,95,2.93,14.2,3.02,0,12.66,1.701,,11,55
"Whiskey sour mix, bottled",A,100g,87,0.1,21.4,0.1,0,21.4,0.008,,0,102
"Alcoholic Beverage, wine, table, red, Mouvedre",A,100g,88,0.07,2.64,0,,,,,,
"Alcoholic Beverage, wine, table, red, Petite Sirah",A,100g,85,0.07,2.68,0,,,,,,
"Alcoholic beverage, whiskey sour, canned",A,100g,119,0,13.4,0,0.1,,0,,0,44
"Alcoholic Beverage, wine, table, red, Gamay",A,100g,78,0.07,2.38,0,,,,,,
"Alcoholic Beverage, wine, table, red, Zinfandel",A,100g,88,0.07,2.86,0,,,,,,
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",A,100g,164,0.1,15.85,0.02,0,15.81,0.003,,0,47
"Alcoholic Beverage, wine, table, red, Burgundy",A,100g,86,0.07,3.69,0,,,,,,
"Alcoholic Beverage, wine, table, red, Barbera",A,100g,85,0.07,2.79,0,,,,,,
"Whiskey sour mix, powder",A,100g,383,0.6,97.3,0.1,0,97.3,0.019,,0,274
"Alcoholic beverage, wine, table, white, Muscat",A,100g,82,0.07,5.23,0,,,,,,
"Alcoholic Beverage, wine, table, red, Syrah",A,100g,83,0.07,2.58,0,,,,,,
"Alcoholic beverage, wine, table, white, Pinot Blanc",A,100g,81,0.07,1.94,0,,,,,,
"Alcoholic beverage, tequila sunrise, canned",A,100g,110,0.3,11.3,0.1,0,,0.013,,0,57
"Alcoholic Beverage, wine, table, red, Pinot Noir",A,100g,82,0.07,2.31,0,,,,,,
"Alcoholic beverage, wine, table, white, late harvest",A,100g,112,0.07,13.39,0,,,,,,
"Alcoholic beverage, pina colada, canned",A,100g,237,0.6,27.6,7.6,0.1,,6.571,,0,71
"Alcoholic Beverage, wine, table, red, Cabernet Franc",A,100g,83,0.07,2.45,0,,,,,,
"Liquor, “Ninghe”, first distillation",B,100g,314,,,,,,,,,
"Glutinous rice wine, white, sweet",B,100g,91,1.6,,,,,,,,1
"Yellow rice wine“Jiafan”, dry",B,100g,37,1.6,,,,,,,,1.5
"Liquor, “Liangzhou”",B,100g,315,,,,,,,,,0.3
"Liquor, “Jiuquan”",B,100g,343,,,,,,,,,
"“Pay tribute”yellow rice wine, dry(14゜)",B,100g,79,,,,,,,,,
"Liquor, made from wheat",B,100g,238,,,,,,,,,0.8
"Liquor, “Jingtai”, second distillation",B,100g,287,,,,,,,,,
Yellow rice wine,B,100g,66,1.6,,,,,,,,5.2
"“Fragrant snow” wine, sweet",B,100g,37,1.5,,,,,,,,1.4
"Liquor, “Huanghelou”(39゜)",B,100g,227,,,,,,,,,
"Liquor, “Jingtai”, first distillation",B,100g,304,,,,,,,,,
"“Rose scented”red grape wine, sweet(15゜)",B,100g,85,0.1,,,,,,,,1.1
"Liquor, made from wheat(40.7゜)",B,100g,237,,,,,,,,,0.7
"“Red”grape wine, sweet",B,100g,74,0.1,,,,,,,,1.7
“Honey” wine,B,100g,84,,,,,,,,,
"“White”grape wine, sweet",B,100g,66,0.1,,,,,,,,1.6
"Liquor, “Zuiliuxia”(57゜)",B,100g,344,,,,,,,,,0.8
"Liquor, “Hankou”(49.6゜)",B,100g,295,,,,,,,,,0.1
"Grape wine, sweet (Mean)",B,100g,72,0.1,,,,,,,,1.6
"Liquor, “Yanlingchun”(57゜)",B,100g,344,,,,,,,,,
"Liquor, “Ganzhou”",B,100g,312,,,,,,,,,
"“Light”beer, yellow(6゜)",B,100g,35,0.4,,,,,,,,4.3
"Liquor, made from wheat(50゜)",B,100g,297,,,,,,,,,0.3
"Liquor, twice distilled(58゜)",B,100g,351,,,,,,,,,0.5
Beer (Mean),B,100g,32,0.4,,,,,,,,11.4
"Liquor, made from wheat(48゜)",B,100g,284,,,,,,,,,0.6
"Liquor, low grade(37.2゜)",B,100g,216,,,,,,,,,
"Liquor, “Wuliangchun”(44.4゜)",B,100g,260,,,,,,,,,0.1
"Liquor, “Chongming”",B,100g,298,,,,,,,,,7.6
"Liquor, “Wulin-spring”, made from barley",B,100g,343,,,,,,,,,0.4
“Bright green”liquor,B,100g,239,,,,,,,,,1.3
"Liquor, “Siluchun”",B,100g,315,,,,,,,,,
"Yellow rice wine “Yuanhong”, dry",B,100g,36,1.3,,,,,,,,1.7
"Liquor, “Sanliang”, made from wheat(55゜)",B,100g,330,,,,,,,,,0.1
"Yellow rice wine “Shaoxing”, dry(15゜)",B,100g,85,,,,,,,,,4.2
"Liquor, “Qujiu”",B,100g,330,,,,,,,,,
"Rice wine, “Shanniang”, semi-sweet",B,100g,99,2,,,,,,,,0.4
"Liquor, “Ninghe”, second distillation",B,100g,314,,,,,,,,,
"Glutinous rice flavored wine, white, sweet(6.4゜)",B,100g,36,,,,,,,,,1.3
Red wine (Pinot Noir),C,100g,83,Trace,2.1,0,0,0.28,0,0,0,1.8
White wine (Riesling),C,100g,77,Trace,2.5,0,0,1.2,0,0,0,3
Red wine (Merlot),C,100g,82,Trace,2.3,0,0,0.43,0,0,0,2.9
White wine (Chardonnay),C,100g,81,Trace,1.6,0,0,0.27,0,0,0,3
Red wine (Carbernet Sauvignon),C,100g,83,Trace,2.4,0,0,0.38,0,0,0,2.6
Red wine (Syrah),C,100g,84,Trace,2.4,0,0,0.33,0,0,0,4.4
Draft beer,C,100g,40,0.4,2.7,0,0,0,0,0,0,2.1
Stout beer,C,100g,52,0.5,4.1,0,0,0,0,0,0,2.2
Beer (in bottle),C,100g,41,0.3,3.1,0,0,0,0,0,0,3.9
Beer (in can),C,100g,41,0.4,2.8,0,0,0,0,0,0,2.7
Rose,C,100g,80,Trace,1.9,0,0,0.51,0,0,0,4.3
White wine (Sauvignon Blanc),C,100g,77,Trace,1.5,0,0,0.27,0,0,0,2.7
"Wine, fortified, port",D,100g,143,0.2,12.4,0,0,12.4,0,0,0,15
"Wine, white, sweet dessert style",D,100g,118,0.4,14.7,0,0,14.7,0,0,0,13
"Wine, white, sparkling",D,100g,73,0.2,1,0,0,1,0,0,0,2
"Wine, white",D,100g,72,0.3,0.2,0,0,0.2,0,0,0,4
"Wine, white, cooked",D,100g,25,0.2,0.3,0,0,0.3,0,0,0,5
"Wine, rose",D,100g,69,0.2,0.7,0,0,0.7,0,0,0,5
"Wine, red, sparkling",D,100g,80,0.2,2,0,0,2,0,0,0,7
"Wine, red, cooked",D,100g,29,0.3,0.2,0,0,0.2,0,0,0,5
"Wine, red",D,100g,80,0.2,0.2,0,0,0.2,0,0,0,5
"Wine, fortified, sherry, sweet style (approximately 11% sugars)",D,100g,137,0.2,11.1,0,0,11.1,0,0,0,18
"Alcoholic beverage, rice (sake)",A,100g,134,0.5,5,0,0,0,0,,0,2
"Alcoholic beverage, wine, table, white, Muller Thurgau",A,100g,76,0.07,3.48,0,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
Eggnog,A,100g,88,4.55,8.05,4.19,0,8.41,2.591,,59,54
"Alcoholic beverage, liqueur, coffee, 53 proof",A,100g,326,0.1,46.8,0.3,0,46.43,0.106,,0,8
"Alcoholic Beverage, wine, table, red, Barbera",A,100g,85,0.07,2.79,0,,,,,,
"Alcoholic beverage, wine, light",A,100g,49,0.07,1.17,0,0,1.15,0,,0,7
"Alcoholic beverage, wine, table, white, Fume Blanc",A,100g,82,0.07,2.27,0,,,,,,
"Alcoholic beverage, creme de menthe, 72 proof",A,100g,371,0,41.6,0.3,0,41.6,0.014,,0,5
"Eggnog-flavor mix, powder, prepared with whole milk",A,100g,95,2.93,14.2,3.02,0,12.66,1.701,,11,55
"Alcoholic Beverage, wine, table, red, Syrah",A,100g,83,0.07,2.58,0,,,,,,
"Alcoholic beverage, wine, cooking",A,100g,50,0.5,6.3,0,0,1.55,0,,0,626
"Alcoholic beverage, wine, table, white, Chenin Blanc",A,100g,80,0.07,3.31,0,,,,,,
"Whiskey sour mix, bottled",A,100g,87,0.1,21.4,0.1,0,21.4,0.008,,0,102
"Alcoholic Beverage, wine, table, red, Mouvedre",A,100g,88,0.07,2.64,0,,,,,,
"Alcoholic Beverage, wine, table, red, Pinot Noir",A,100g,82,0.07,2.31,0,,,,,,
"Alcoholic Beverage, wine, table, red, Merlot",A,100g,83,0.07,2.51,0,0,0.62,,,,4
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",A,100g,83,0.07,2.06,0,,,,,,
"Alcoholic beverage, whiskey sour, canned",A,100g,119,0,13.4,0,0.1,,0,,0,44
"Alcoholic Beverage, wine, table, red, Gamay",A,100g,78,0.07,2.38,0,,,,,,
"Alcoholic Beverage, wine, table, red, Cabernet Franc",A,100g,83,0.07,2.45,0,,,,,,
"Alcoholic Beverage, wine, table, red, Carignane",A,100g,74,0.07,2.4,0,,,,,,
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",A,100g,164,0.1,15.85,0.02,0,15.81,0.003,,0,47
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",A,100g,263,0,0,0,0,0,0,,0,1
"Alcoholic Beverage, wine, table, red, Burgundy",A,100g,86,0.07,3.69,0,,,,,,
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",A,100g,83,0.07,2.6,0,,,,,,
"Alcoholic beverage, wine, table, white, Pinot Blanc",A,100g,81,0.07,1.94,0,,,,,,
"Alcoholic Beverage, wine, table, red, Sangiovese",A,100g,86,0.07,2.62,0,,,,,,
"Whiskey sour mix, powder",A,100g,383,0.6,97.3,0.1,0,97.3,0.019,,0,274
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",A,100g,250,0,0.1,0,0,0,0,,0,1
"Alcoholic beverage, wine, table, white, Muscat",A,100g,82,0.07,5.23,0,,,,,,
"Alcoholic beverage, wine, table, red",A,100g,85,0.07,2.61,0,0,0.62,0,,0,4
"Alcoholic beverage, wine, table, white, late harvest",A,100g,112,0.07,13.39,0,,,,,,
"Alcoholic Beverage, wine, table, red, Lemberger",A,100g,80,0.07,2.46,0,,,,,,
"Alcoholic beverage, tequila sunrise, canned",A,100g,110,0.3,11.3,0.1,0,,0.013,,0,57
"Alcoholic beverage, wine, dessert, dry",A,100g,152,0.2,11.67,0,0,1.09,0,,0,9
"Alcoholic beverage, wine, table, all",A,100g,83,0.07,2.72,0,0,0.79,0,,0,5
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",A,100g,81,0.07,2.05,0,,,,,,
"Alcoholic beverage, wine, table, white",A,100g,82,0.07,2.6,0,0,0.96,0,,0,5
"Alcoholic beverage, pina colada, canned",A,100g,237,0.6,27.6,7.6,0.1,,6.571,,0,71
"Alcoholic beverage, liqueur, coffee, 63 proof",A,100g,308,0.1,32.2,0.3,0,32.2,0.106,,0,8
"Alcoholic beverage, wine, dessert, sweet",A,100g,160,0.2,13.69,0,0,7.78,0,,0,9
"Alcoholic beverage, wine, table, white, Riesling",A,100g,80,0.07,3.74,0,,,,,,
"Alcoholic beverage, daiquiri, canned",A,100g,125,0,15.7,0,0,,0,,0,40
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",A,100g,295,0,0,0,0,,0,,0,1
"Alcoholic Beverage, wine, table, red, Claret",A,100g,83,0.07,3.01,0,,,,,,
"Alcoholic beverage, distilled, whiskey, 86 proof",A,100g,250,0,0.1,0,0,0.1,0,,0,0
"Alcoholic beverage, wine, table, white, Semillon",A,100g,82,0.07,3.12,0,,,,,,
"Alcoholic beverage, distilled, rum, 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
"Alcoholic beverage, beer, light",A,100g,29,0.24,1.64,0,0,0.09,0,,0,4
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",A,100g,275,0,0,0,0,,0,,0,1
"Alcoholic Beverage, wine, table, red, Petite Sirah",A,100g,85,0.07,2.68,0,,,,,,
"Alcoholic beverage, distilled, vodka, 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
"Alcoholic beverage, wine, table, white, Gewurztraminer",A,100g,81,0.07,2.6,0,,,,,,
"Alcoholic beverage, distilled, gin, 90 proof",A,100g,263,0,0,0,0,0,0,,0,2
"Alcoholic beverage, beer, regular, all",A,100g,43,0.46,3.55,0,0,0,0,,0,4
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",A,100g,327,2.8,20.9,15.7,0,19.76,9.664,,58,92
"Alcoholic Beverage, wine, table, red, Zinfandel",A,100g,88,0.07,2.86,0,,,,,,
"Liquor, “Sanliang”, made from wheat(55゜)",B,100g,330,,,,,,,,,0.1
"Liquor, “Hankou”(49.6゜)",B,100g,295,,,,,,,,,0.1
"Yellow rice wine“Jiafan”, dry",B,100g,37,1.6,,,,,,,,1.5
"Liquor, “Qujiu”",B,100g,330,,,,,,,,,
"Liquor, “Ganzhou”",B,100g,312,,,,,,,,,
"“Pay tribute”yellow rice wine, dry(14゜)",B,100g,79,,,,,,,,,
"“Fragrant snow” wine, sweet",B,100g,37,1.5,,,,,,,,1.4
"Liquor, “Ninghe”, second distillation",B,100g,314,,,,,,,,,
"Liquor, twice distilled(58゜)",B,100g,351,,,,,,,,,0.5
Yellow rice wine,B,100g,66,1.6,,,,,,,,5.2
“Honey” wine,B,100g,84,,,,,,,,,
"Liquor, “Ninghe”, first distillation",B,100g,314,,,,,,,,,
"Liquor, low grade(37.2゜)",B,100g,216,,,,,,,,,
"“Rose scented”red grape wine, sweet(15゜)",B,100g,85,0.1,,,,,,,,1.1
"Liquor, “Liangzhou”",B,100g,315,,,,,,,,,0.3
"Liquor, “Zuiliuxia”(57゜)",B,100g,344,,,,,,,,,0.8
"Liquor, “Chongming”",B,100g,298,,,,,,,,,7.6
"“Red”grape wine, sweet",B,100g,74,0.1,,,,,,,,1.7
"Liquor, “Jiuquan”",B,100g,343,,,,,,,,,
"Liquor, “Yanlingchun”(57゜)",B,100g,344,,,,,,,,,
“Bright green”liquor,B,100g,239,,,,,,,,,1.3
"“White”grape wine, sweet",B,100g,66,0.1,,,,,,,,1.6
"Liquor, “Jingtai”, second distillation",B,100g,287,,,,,,,,,
"Liquor, made from wheat(50゜)",B,100g,297,,,,,,,,,0.3
"Yellow rice wine “Yuanhong”, dry",B,100g,36,1.3,,,,,,,,1.7
"Grape wine, sweet (Mean)",B,100g,72,0.1,,,,,,,,1.6
"Liquor, “Jingtai”, first distillation",B,100g,304,,,,,,,,,
"Liquor, made from wheat(48゜)",B,100g,284,,,,,,,,,0.6
"Yellow rice wine “Shaoxing”, dry(15゜)",B,100g,85,,,,,,,,,4.2
"“Light”beer, yellow(6゜)",B,100g,35,0.4,,,,,,,,4.3
"Liquor, “Wuliangchun”(44.4゜)",B,100g,260,,,,,,,,,0.1
"Liquor, made from wheat",B,100g,238,,,,,,,,,0.8
"Rice wine, “Shanniang”, semi-sweet",B,100g,99,2,,,,,,,,0.4
Beer (Mean),B,100g,32,0.4,,,,,,,,11.4
"Liquor, “Wulin-spring”, made from barley",B,100g,343,,,,,,,,,0.4
"Liquor, “Huanghelou”(39゜)",B,100g,227,,,,,,,,,
"Glutinous rice flavored wine, white, sweet(6.4゜)",B,100g,36,,,,,,,,,1.3
"Liquor, “Siluchun”",B,100g,315,,,,,,,,,
"Liquor, made from wheat(40.7゜)",B,100g,237,,,,,,,,,0.7
"Glutinous rice wine, white, sweet",B,100g,91,1.6,,,,,,,,1
Beer (in bottle),C,100g,41,0.3,3.1,0,0,0,0,0,0,3.9
Rose,C,100g,80,Trace,1.9,0,0,0.51,0,0,0,4.3
Beer (in can),C,100g,41,0.4,2.8,0,0,0,0,0,0,2.7
White wine (Sauvignon Blanc),C,100g,77,Trace,1.5,0,0,0.27,0,0,0,2.7
White wine (Riesling),C,100g,77,Trace,2.5,0,0,1.2,0,0,0,3
White wine (Chardonnay),C,100g,81,Trace,1.6,0,0,0.27,0,0,0,3
Red wine (Syrah),C,100g,84,Trace,2.4,0,0,0.33,0,0,0,4.4
Red wine (Pinot Noir),C,100g,83,Trace,2.1,0,0,0.28,0,0,0,1.8
Red wine (Merlot),C,100g,82,Trace,2.3,0,0,0.43,0,0,0,2.9
Red wine (Carbernet Sauvignon),C,100g,83,Trace,2.4,0,0,0.38,0,0,0,2.6
Draft beer,C,100g,40,0.4,2.7,0,0,0,0,0,0,2.1
Stout beer,C,100g,52,0.5,4.1,0,0,0,0,0,0,2.2
"Wine, white, sweet dessert style",D,100g,118,0.4,14.7,0,0,14.7,0,0,0,13
"Wine, white, sparkling",D,100g,73,0.2,1,0,0,1,0,0,0,2
"Wine, white",D,100g,72,0.3,0.2,0,0,0.2,0,0,0,4
"Wine, white, cooked",D,100g,25,0.2,0.3,0,0,0.3,0,0,0,5
"Wine, rose",D,100g,69,0.2,0.7,0,0,0.7,0,0,0,5
"Wine, red, sparkling",D,100g,80,0.2,2,0,0,2,0,0,0,7
"Wine, red, cooked",D,100g,29,0.3,0.2,0,0,0.2,0,0,0,5
"Wine, red",D,100g,80,0.2,0.2,0,0,0.2,0,0,0,5
"Wine, fortified, sherry, sweet style (approximately 11% sugars)",D,100g,137,0.2,11.1,0,0,11.1,0,0,0,18
"Wine, fortified, port",D,100g,143,0.2,12.4,0,0,12.4,0,0,0,15
"Crustaceans, crab, blue, raw",A,100g,87,18.06,0.04,1.08,0,,0.222,,78,293
"Mollusks, clam, mixed species, cooked, breaded and fried",A,100g,202,14.24,10.33,11.15,,,2.683,,61,364
"Mollusks, whelk, unspecified, raw",A,100g,137,23.84,7.76,0.4,0,0,0.031,,65,206
"Entrees, crab cake",A,100g,266,18.75,8.52,17.25,0.4,,3.74,,137,819
"Mollusks, clam, mixed species, raw",A,100g,74,12.77,2.57,0.97,0,0,0.094,,34,56
"Mollusks, squid, mixed species, cooked, fried",A,100g,175,17.94,7.79,7.48,0,,1.878,,260,306
"Crustaceans, crab, alaska king, imitation, made from surimi",A,100g,95,7.62,15,0.46,0.5,6.25,0.176,,20,841
"Fast foods, clams, breaded and fried",A,100g,392,11.15,33.75,22.96,,,5.742,,76,725
"Mollusks, abalone, mixed species, cooked, fried",A,100g,189,19.63,11.05,6.78,0,,1.646,,94,591
"Mollusks, squid, mixed species, raw",A,100g,92,15.58,3.08,1.38,0,0,0.358,,233,44
"Crustaceans, crab, alaska king, cooked, moist heat",A,100g,97,19.35,0,1.54,0,,0.133,,53,1072
"Mollusks, conch, baked or broiled",A,100g,130,26.3,1.7,1.2,0,0,0.37,,65,153
"Mollusks, abalone, mixed species, raw",A,100g,105,17.1,6.01,0.76,0,0,0.149,,85,301
"Mollusks, scallop, mixed species, imitation, made from surimi",A,100g,99,12.77,10.62,0.41,0,,0.08,,22,795
"Crustaceans, crab, alaska king, raw",A,100g,84,18.29,0,0.6,0,,0.09,,42,836
"Crustaceans, spiny lobster, mixed species, raw",A,100g,112,20.6,2.43,1.51,0,,0.237,,70,177
"Mollusks, scallop, mixed species, cooked, breaded and fried",A,100g,215,18.07,10.13,10.94,,,2.669,,61,464
"Mollusks, oyster, eastern, farmed, cooked, dry heat",A,100g,79,7,7.28,2.12,0,,0.683,,38,163
"Crustaceans, shrimp, mixed species, imitation, made from surimi",A,100g,101,12.39,9.13,1.47,0,,0.29,,36,705
"Mollusks, scallop, mixed species, raw",A,100g,88,16.78,2.36,0.76,0,0,0.079,,33,161
"Turtle, green, raw",A,100g,89,19.8,0,0.5,0,0,0.127,,50,68
"Mollusks, oyster, eastern, farmed, raw",A,100g,59,5.22,5.53,1.55,0,,0.443,,25,178
"Crustaceans, shrimp, mixed species, canned",A,100g,100,20.42,0,1.36,0,0,0.188,,252,777
"Mollusks, oyster, Pacific, raw",A,100g,81,9.45,4.95,2.3,0,,0.51,,50,106
"Mollusks, oyster, eastern, wild, cooked, moist heat",A,100g,137,14.1,7.82,4.91,0,,1.544,,105,422
"Mollusks, snail, raw",A,100g,90,16.1,2,1.4,0,0,0.361,,50,70
"Mollusks, oyster, eastern, wild, cooked, dry heat",A,100g,72,8.25,4.8,1.9,0,,0.55,,49,244
"Mollusks, oyster, eastern, canned",A,100g,69,7.06,3.91,2.47,0,0,0.631,,55,112
"Mollusks, oyster, eastern, cooked, breaded and fried",A,100g,197,8.77,11.62,12.58,,,3.197,,81,417
"Mollusks, scallop, (bay and sea), cooked, steamed",A,100g,112,23.2,0,1.4,0,0,0.146,,53,265
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat",A,100g,87,17.52,0,1.3,0,,0.216,,137,97
"Crustaceans, shrimp, mixed species, cooked, moist heat",A,100g,99,20.91,0,1.08,0,0,0.289,,195,224
"Mollusks, oyster, eastern, wild, raw",A,100g,68,7.05,3.91,2.46,0,0,0.772,,53,211
"Jellyfish, dried, salted",A,100g,36,5.5,0,1.4,0,0,0.273,,5,9690
"Crustaceans, crayfish, mixed species, farmed, raw",A,100g,72,14.85,0,0.97,0,,0.163,,107,62
"Crustaceans, shrimp, mixed species, cooked, breaded and fried",A,100g,242,21.39,11.47,12.28,0.4,,2.087,,177,344
"Mollusks, octopus, common, raw",A,100g,82,14.91,2.2,1.04,0,0,0.227,,48,230
"Restaurant, family style, shrimp, breaded and fried",A,100g,294,12.85,20.01,18.1,1,0.74,3.325,0.191,89,853
"Mollusks, oyster, Pacific, cooked, moist heat",A,100g,163,18.9,9.9,4.6,0,0,1.02,,100,212
"Crustaceans, shrimp, mixed species, raw",A,100g,106,20.31,0.91,1.73,0,0,0.328,,152,148
"Mollusks, mussel, blue, cooked, moist heat",A,100g,172,23.8,7.39,4.48,0,,0.85,,56,369
"Fast foods, shrimp, breaded and fried",A,100g,277,11.51,24.39,15.18,,,3.28,,122,882
"Mollusks, octopus, common, cooked, moist heat",A,100g,164,29.82,4.4,2.08,0,0,0.453,,96,460
"Crustaceans, crayfish, mixed species, wild, raw",A,100g,77,15.97,0,0.95,0,0,0.159,,114,58
"Crustaceans, lobster, northern, cooked, moist heat",A,100g,98,20.5,1.28,0.59,0,0,0.107,,72,380
"Fast foods, scallops, breaded and fried",A,100g,268,10.94,26.73,13.47,,,3.391,,75,638
"Mollusks, cuttlefish, mixed species, cooked, moist heat",A,100g,158,32.48,1.64,1.4,0,,0.236,,224,744
"Crustaceans, crab, queen, raw",A,100g,90,18.5,0,1.18,0,,0.143,,55,539
"Crustaceans, lobster, northern, raw",A,100g,90,18.8,0.5,0.9,0,0,0.18,,95,296
"Mollusks, mussel, blue, raw",A,100g,86,11.9,3.69,2.24,0,0,0.425,,28,286
"Crustaceans, spiny lobster, mixed species, cooked, moist heat",A,100g,143,26.41,3.12,1.94,0,,0.303,,90,227
"Crustaceans, crab, dungeness, raw",A,100g,86,17.41,0.74,0.97,0,,0.132,,59,295
"Crustaceans, crayfish, mixed species, wild, cooked, moist heat",A,100g,82,16.77,0,1.2,0,0,0.181,,133,94
"Mollusks, cuttlefish, mixed species, raw",A,100g,79,16.24,0.82,0.7,0,,0.118,,112,372
"Fast foods, oysters, battered or breaded, and fried",A,100g,265,9.02,28.69,12.9,,,3.294,,78,487
"Crustaceans, crab, queen, cooked, moist heat",A,100g,115,23.72,0,1.51,0,,0.183,,71,691
"Crustaceans, crab, blue, crab cakes",A,100g,155,20.21,0.48,7.52,0,,1.483,,150,330
"Mollusks, clam, mixed species, canned, liquid",A,100g,2,0.4,0.1,0.02,0,0,0.002,,3,215
